,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
gamma0,0.003245,9.7e-05,0.003068,0.003436,4e-06,2e-06,508.483021,1001.950467,1.003141
gamma1,0.012127,0.000325,0.011552,0.012734,2.8e-05,1.5e-05,134.21641,265.72418,1.017758
sigma_y,0.002023,0.000125,0.001815,0.002268,1.3e-05,7e-06,91.152699,234.227296,1.052611
sigma_theta,0.667828,0.019107,0.634465,0.704317,0.001567,0.000661,151.604035,379.656315,1.018107
sigma_fin_base,2.466729,0.012959,2.439698,2.489269,0.000208,0.000323,3842.791384,1640.204484,1.00076
