Date,Return,t_idx,theta_mean,theta_low,theta_high
2008-01-02,0.0,0,-0.33478174,-0.5520862266421318,-0.1005831783637404
2008-01-03,0.0,1,-0.32635692,-0.5477101877331734,-0.09744703546166417
2008-01-07,-0.0214074463086321,2,-0.3187007,-0.5343376055359841,-0.09235543739050614
2008-01-09,0.0,3,-0.31178215,-0.518556286394596,-0.10249433536082506
2008-01-10,0.0079481665992491,4,-0.3083652,-0.520356547832489,-0.09064423646777846
2008-01-22,0.0,5,-0.30088222,-0.5086887866258621,-0.08151082322001457
2008-01-29,0.0395268981304846,6,-0.29374406,-0.499481263756752,-0.07873240094631896
2008-01-30,-0.0047640020553475,7,-0.28216207,-0.4852598816156387,-0.0624121001921594
2008-02-01,0.0292150080025963,8,-0.26682484,-0.47417782098054884,-0.04444847172126172
2008-02-05,0.0,9,-0.25515825,-0.4632679186761379,-0.03761981576681137
2008-02-11,0.0,10,-0.2496759,-0.4630635499954224,-0.029479010775685304
2008-02-21,0.0025389618632991,11,-0.25148082,-0.46626010090112685,-0.03350809942930935
2008-02-22,0.0,12,-0.24967565,-0.464227657020092,-0.030531718349084233
2008-02-28,0.0107677868022557,13,-0.25151777,-0.47194217443466185,-0.0278134203515945
2008-02-29,-0.0270896700982685,14,-0.24949326,-0.46981417536735537,-0.02796822269447139
2008-03-05,0.0023071778029954,15,-0.25177225,-0.4717380113899708,-0.040194003563374145
2008-03-07,0.0,16,-0.25048533,-0.47361950799822805,-0.03642715150490399
2008-03-10,-0.015463479128169,17,-0.25173745,-0.4755671381950378,-0.027419823920354126
2008-03-11,0.0371298208690327,18,-0.25573575,-0.48265563100576403,-0.02478335625492031
2008-03-18,0.0076401771854768,19,-0.2572142,-0.480997858941555,-0.03215069095604103
2008-03-27,-0.003742278732134,20,-0.25589266,-0.4776548400521278,-0.03438416104763742
2008-04-02,0.0315064566739078,21,-0.258548,-0.47505119293928144,-0.04041820056736459
2008-04-07,0.0036635393739077,22,-0.26020947,-0.4738101951777935,-0.04505841545760631
2008-04-16,0.0,23,-0.2580763,-0.46912527456879616,-0.05126390596851695
2008-04-22,0.0082288544819046,24,-0.25420266,-0.4724836990237236,-0.03485984234139323
2008-04-23,0.0028998357486518,25,-0.24657206,-0.45848142728209496,-0.030595853272825473
2008-04-24,0.0064423557716695,26,-0.24317312,-0.45262650549411776,-0.02341526732780038
2008-04-25,0.0064947221382181,27,-0.243884,-0.4540439836680889,-0.031044307723641328
2008-05-05,0.0069035082699022,28,-0.23910321,-0.4426630072295666,-0.02727658241055902
2008-05-06,0.007651919374205,29,-0.23152809,-0.43371874615550043,-0.011413381621241562
2008-05-07,-0.0181137450114929,30,-0.22344409,-0.4280362524092197,-0.011301458976231448
2008-05-08,0.0036694744249841,31,-0.21445365,-0.424937441945076,0.001048154398449718
2008-05-12,0.0,32,-0.20997174,-0.41280807331204417,0.0073693078011274425
2008-05-16,0.015510337850354,33,-0.20800516,-0.4154784820973873,0.007500264211557856
2008-05-21,-0.0243028028203597,34,-0.20863245,-0.4153000831604004,0.007322525186464201
2008-05-23,-0.0106276650056446,35,-0.20996541,-0.42486893460154534,0.003760399279417485
2008-05-27,0.0068462785170755,36,-0.20847645,-0.41753529459238053,-0.0006434120608900955
2008-05-29,0.0093189446710217,37,-0.2019305,-0.41408699080348016,0.010267439112067346
2008-06-02,-0.0090040478880893,38,-0.19875656,-0.40816629230976104,0.014219764526933486
2008-06-04,0.0,39,-0.20016614,-0.4079603783786297,0.012719504255801456
2008-06-05,0.0194960790008713,40,-0.20152764,-0.40736322551965715,0.017905068956315568
2008-06-09,0.0,41,-0.20253754,-0.41094851270318034,0.021194777591154037
2008-06-13,-0.0012704147573727,42,-0.21213719,-0.42837507277727127,0.014804705209098861
2008-06-20,-0.0309551995176576,43,-0.22171743,-0.4382279857993126,0.00015409746702070158
2008-06-24,0.0,44,-0.23599485,-0.4438888385891914,-0.01659398647025224
2008-07-01,-0.022354274931712,45,-0.24776024,-0.4551053650677204,-0.031576506234705426
2008-07-02,0.0,46,-0.25677603,-0.4626376487314701,-0.04946549711748943
2008-07-07,-0.0073007165958526,47,-0.2722987,-0.48090472519397737,-0.06523440964519975
2008-07-09,-0.0060847553720723,48,-0.28826988,-0.4911737784743309,-0.07893645390868176
2008-07-14,-0.013167937398067,49,-0.3023488,-0.511954739689827,-0.09695211946964258
2008-07-23,0.0438736465032973,50,-0.31280586,-0.5319109693169594,-0.10239527393132443
2008-07-29,-0.0148105974933512,51,-0.3199174,-0.5372827887535095,-0.11532011851668342
2008-07-31,0.0033090563647879,52,-0.32763308,-0.5377801805734634,-0.12467941138893365
2008-08-01,-0.0055784374063029,53,-0.33255738,-0.5445042550563812,-0.13071944341063496
2008-08-04,-0.0089660480358007,54,-0.3378359,-0.542517502605915,-0.13347304388880707
2008-08-08,0.0378779993755054,55,-0.3438229,-0.548510168492794,-0.1373250063508746
2008-08-13,-0.0080921377437669,56,-0.34756392,-0.5544707685708999,-0.1468153730034827
2008-08-14,0.0055217252669483,57,-0.35528642,-0.5664620280265809,-0.15507294572889802
2008-08-19,0.0,58,-0.36089107,-0.565887226164341,-0.1605895657092331
2008-08-26,0.0,59,-0.361013,-0.5701405435800553,-0.16237804628908625
2008-08-27,0.0,60,-0.3595826,-0.5697169467806816,-0.15526101216673835
2008-08-28,0.014840129207434,61,-0.3528086,-0.5600327908992767,-0.14887445084750645
2008-09-03,-0.0197588953470492,62,-0.3426597,-0.5491764143109321,-0.12702641487121583
